Date,Sales,Customers
2013-03-16,6459058,733085
2013-03-17,193072,34420
2013-03-18,10078195,999770
2013-03-19,8528292,887823
2013-03-20,7728892,820715
2013-03-21,7897067,861321
2013-03-22,8245992,901334
2013-03-23,6337911,713493
2013-03-24,191036,34607
2013-03-25,10482556,1044999
2013-03-26,9305505,964981
2013-03-27,9674698,1001042
2013-03-28,11417987,1177111
2013-03-29,213921,35775
2013-03-30,9380402,1020089
2013-03-31,176418,30772
2013-04-01,241076,41594
2013-04-02,7362049,894066
2013-04-03,6406442,778768
2013-04-04,6496112,789540
2013-04-05,6622062,788012
2013-04-06,6171054,714351
2013-04-07,189097,35217
2013-04-08,10115602,1031717
2013-04-09,8418477,894836
2013-04-10,7698779,830819
2013-04-11,7580421,841356
2013-04-12,8056347,890127
2013-04-13,6024315,711341
2013-04-14,182641,35242
2013-04-15,5711125,742981
2013-04-16,5668517,729645
2013-04-17,5556697,713577
2013-04-18,5726233,730564
2013-04-19,6349901,773215
2013-04-20,6006147,700925
2013-04-21,188406,34839
2013-04-22,9542000,988277
2013-04-23,8047511,873417
2013-04-24,7177730,810410
2013-04-25,7121467,818307
2013-04-26,7652433,843014
2013-04-27,6308284,713490
2013-04-28,205232,37232
2013-04-29,10040182,1011283
2013-04-30,10565093,1084203
2013-05-01,200972,34845
2013-05-02,9884371,1046612
2013-05-03,8967338,975031
2013-05-04,6487719,752844
2013-05-05,200337,38101
2013-05-06,6884920,839634
2013-05-07,6697752,802206
2013-05-08,7693180,918105
2013-05-09,233215,41089
2013-05-10,8481406,970014
2013-05-11,6658662,770286
2013-05-12,215592,38757
2013-05-13,9826496,1005960
2013-05-14,8662237,925698
2013-05-15,7767784,852041
2013-05-16,7884887,869585
2013-05-17,8225841,906276
2013-05-18,6410461,739439
2013-05-19,226808,40462
2013-05-20,253936,44288
2013-05-21,7204456,865862
2013-05-22,6085235,728918
2013-05-23,6209485,756187
2013-05-24,6483138,783354
2013-05-25,5806559,671302
2013-05-26,201681,36076
2013-05-27,9944524,998972
2013-05-28,8390312,888040
2013-05-29,8885059,908773
2013-05-30,3422824,393933
2013-05-31,10913876,1081196
2013-06-01,6907750,764268
2013-06-02,238144,41220
2013-06-03,10144989,1031251
2013-06-04,8526834,914107
2013-06-05,7683188,849201
2013-06-06,7646668,860253
2013-06-07,7967656,890566
2013-06-08,5993792,703254
2013-06-09,226250,39873
2013-06-10,6667460,806250
2013-06-11,6201425,761268
2013-06-12,5961024,733378
2013-06-13,6044207,739896
2013-06-14,6887448,810875
2013-06-15,6144832,704128
2013-06-16,225065,40388
2013-06-17,10191372,1024967
2013-06-18,8100286,873421
2013-06-19,7243757,801809
2013-06-20,7353311,807747
2013-06-21,8406280,909465
2013-06-22,6189413,710334
2013-06-23,224608,39661
2013-06-24,6511212,791714
2013-06-25,5827831,714211
2013-06-26,6028195,730467
2013-06-27,6372971,750668
2013-06-28,7625077,841770
2013-06-29,6909121,744871
2013-06-30,252185,41765
2013-07-01,10750990,1072961
2013-07-02,8936605,940849
2013-07-03,8416942,873625
2013-07-04,8458325,910326
2013-07-05,8384512,916848
2013-07-06,5927036,691010
2013-07-07,234369,44003
2013-07-08,6652999,808138
2013-07-09,6157174,752882
2013-07-10,6248496,751347
2013-07-11,6483182,772085
2013-07-12,6699439,790991
2013-07-13,5987351,685630
2013-07-14,253582,43412
2013-07-15,11484803,1090839
2013-07-16,9157994,933479
2013-07-17,8269168,871697
2013-07-18,8092686,876113
2013-07-19,8376476,908361
2013-07-20,5941848,686036
2013-07-21,235211,45099
2013-07-22,6285621,769064
2013-07-23,5767497,708902
2013-07-24,5966755,717449
2013-07-25,6065761,736248
2013-07-26,6270667,744737
2013-07-27,5448670,633102
2013-07-28,232442,42674
2013-07-29,11299276,1060574
2013-07-30,10064515,980897
2013-07-31,10293490,1012667
2013-08-01,8783485,930162
2013-08-02,8085626,876003
2013-08-03,6320830,715334
2013-08-04,252848,44662
2013-08-05,7169893,851752
2013-08-06,6366382,769303
2013-08-07,6414477,766591
2013-08-08,6430437,770607
2013-08-09,6589299,781132
2013-08-10,5881545,681555
2013-08-11,243358,42451
2013-08-12,11137198,1095755
2013-08-13,9179490,950342
2013-08-14,8509505,909775
2013-08-15,7029537,790070
2013-08-16,8137427,901419
2013-08-17,5584570,665213
2013-08-18,241793,42456
2013-08-19,6391105,779212
2013-08-20,5989832,746497
2013-08-21,5696932,716191
2013-08-22,5759988,726355
2013-08-23,6035936,746418
2013-08-24,5397910,647011
2013-08-25,225182,41185
2013-08-26,10302422,1026494
2013-08-27,8397061,891739
2013-08-28,7838558,844061
2013-08-29,7970501,865299
2013-08-30,9221577,971094
2013-08-31,6458023,728094
2013-09-01,250990,42368
2013-09-02,6834913,817928
2013-09-03,6322579,780680
2013-09-04,5985810,749766
2013-09-05,5843845,736801
2013-09-06,6121373,753490
2013-09-07,5795003,680941
2013-09-08,225500,39630
2013-09-09,11058017,1059134
2013-09-10,8946722,909871
2013-09-11,8285894,871907
2013-09-12,8096007,880642
2013-09-13,8371696,915379
2013-09-14,5894325,693776
2013-09-15,224076,39654
2013-09-16,6130906,769479
2013-09-17,5785061,733944
2013-09-18,5438193,687725
2013-09-19,5797033,734083
2013-09-20,6042768,743017
2013-09-21,5745122,681199
2013-09-22,204164,36938
2013-09-23,9449348,967001
2013-09-24,7922441,858835
2013-09-25,7390563,814577
2013-09-26,7489318,826372
2013-09-27,8267396,896964
2013-09-28,6245049,712937
2013-09-29,228875,40267
2013-09-30,7660976,874726
2013-10-01,6677200,804037
2013-10-02,7168893,864349
2013-10-03,285518,48103
2013-10-04,8196635,945977
2013-10-05,6142021,706614
2013-10-06,217293,38215
2013-10-07,11062400,1078134
2013-10-08,8949093,929711
2013-10-09,8089729,858684
2013-10-10,7809827,842255
2013-10-11,8141538,867610
2013-10-12,6203651,709747
2013-10-13,227064,39547
2013-10-14,6571405,796483
2013-10-15,5864402,712941
2013-10-16,5933839,728359
2013-10-17,5861163,719827
2013-10-18,6319569,769390
2013-10-19,5868927,689293
2013-10-20,208367,37774
2013-10-21,9833873,1007327
2013-10-22,7927560,864183
2013-10-23,7416700,816017
2013-10-24,7378657,833168
2013-10-25,7589058,849316
2013-10-26,5744750,681333
2013-10-27,218159,39427
2013-10-28,5831815,726542
2013-10-29,6145546,750236
2013-10-30,6970004,821116
2013-10-31,6807674,795543
2013-11-01,3940492,475218
2013-11-02,7410509,813168
2013-11-03,175864,33251
2013-11-04,10568398,1018154
2013-11-05,9306571,952191
2013-11-06,8224747,859106
2013-11-07,7951819,857946
2013-11-08,8443830,911685
2013-11-09,6566741,741586
2013-11-10,187852,34576
2013-11-11,6423778,788493
2013-11-12,6003149,732948
2013-11-13,6028677,734978
2013-11-14,6140303,739223
2013-11-15,6741987,790440
2013-11-16,6605960,736692
2013-11-17,194615,34381
2013-11-18,10528615,1035495
2013-11-19,8895888,918755
2013-11-20,7472513,787897
2013-11-21,8084449,870146
2013-11-22,8199106,886710
2013-11-23,6593077,740157
2013-11-24,198110,34995
2013-11-25,7204808,823195
2013-11-26,6673704,777337
2013-11-27,6725418,766804
2013-11-28,7262197,813496
2013-11-29,8803269,926234
2013-11-30,8614478,908611
2013-12-01,220033,37733
2013-12-02,12972440,1199202
2013-12-03,10915444,1051677
2013-12-04,10203870,989019
2013-12-05,10296749,995117
2013-12-06,8431475,881559
2013-12-07,7231141,805445
2013-12-08,190125,34892
2013-12-09,7607576,872942
2013-12-10,7458243,857397
2013-12-11,7364610,834467
2013-12-12,7520198,850768
2013-12-13,8012317,887006
2013-12-14,7938245,844563
2013-12-15,214032,36978
2013-12-16,15623548,1340280
2013-12-17,13053993,1198877
2013-12-18,12189674,1158335
2013-12-19,11740273,1154752
2013-12-20,12334496,1219287
2013-12-21,10165366,1053248
2013-12-22,263979,41248
2013-12-23,14350056,1518600
2013-12-24,5232808,580313
2013-12-25,142585,24022
2013-12-26,188597,30762
2013-12-27,8168568,937104
2013-12-28,6726568,758154
2013-12-29,226553,36760
2013-12-30,10192135,1117442
2013-12-31,4534864,531392
2014-01-01,118108,21925
2014-01-02,6980556,818375
2014-01-03,7024253,818253
2014-01-04,6357259,723684
2014-01-05,184905,32322
2014-01-06,8661727,834045
2014-01-07,10456932,1037300
2014-01-08,8643239,894254
2014-01-09,8016642,855056
2014-01-10,8548672,916235
2014-01-11,6231179,709633
2014-01-12,175744,31433
2014-01-13,6089929,758082
2014-01-14,5785842,719948
2014-01-15,5779426,708232
2014-01-16,5720266,700350
2014-01-17,6332625,764681
2014-01-18,6213031,711332
2014-01-19,175778,32218
2014-01-20,10648819,1001444
2014-01-21,8475207,851491
2014-01-22,7970289,832078
2014-01-23,7625568,816995
2014-01-24,7851977,841433
2014-01-25,5986034,684990
2014-01-26,160153,30422
2014-01-27,5689615,714492
2014-01-28,5790602,719520
2014-01-29,5809489,692939
2014-01-30,6313068,744214
2014-01-31,7935853,875811
2014-02-01,6934170,741526
2014-02-02,214940,36895
2014-02-03,11757740,1099528
2014-02-04,9651472,968587
2014-02-05,8456987,874257
2014-02-06,8226263,887136
2014-02-07,8075318,863398
2014-02-08,6387706,722556
2014-02-09,190226,35021
2014-02-10,6451410,799112
2014-02-11,6056843,755240
2014-02-12,6046448,748447
2014-02-13,6180416,753399
2014-02-14,7086640,840906
2014-02-15,6293698,718465
2014-02-16,190158,34894
2014-02-17,10675316,1052877
2014-02-18,8708285,908533
2014-02-19,7855918,837033
2014-02-20,7738889,852829
2014-02-21,7862313,856205
2014-02-22,6123882,708749
2014-02-23,185005,34851
2014-02-24,6036002,770839
2014-02-25,5697449,725970
2014-02-26,5960448,740172
2014-02-27,6006428,726638
2014-02-28,7874307,878227
2014-03-01,7088957,781917
2014-03-02,225564,39452
2014-03-03,10254710,980471
2014-03-04,9211960,937072
2014-03-05,8802968,915031
2014-03-06,8444592,908176
2014-03-07,8486290,923220
2014-03-08,6075937,715477
2014-03-09,187110,37147
2014-03-10,6204784,778982
2014-03-11,5906003,740799
2014-03-12,5795093,723583
2014-03-13,5898902,733410
2014-03-14,6447567,777216
2014-03-15,6310072,704305
2014-03-16,213125,38502
2014-03-17,10311703,1024867
2014-03-18,8426401,881600
2014-03-19,7849900,843215
2014-03-20,7179418,814730
2014-03-21,7681649,838189
2014-03-22,6176931,705202
2014-03-23,217517,39261
2014-03-24,6506590,779249
2014-03-25,5909575,725439
2014-03-26,5840946,706845
2014-03-27,6024721,729455
2014-03-28,6822072,792762
2014-03-29,6248819,707761
2014-03-30,207045,38245
2014-03-31,12062933,1125153
2014-04-01,9114237,946518
2014-04-02,8314447,884087
2014-04-03,8215262,886014
2014-04-04,8575005,914152
2014-04-05,6560749,731475
2014-04-06,223163,39945
2014-04-07,6624706,808791
2014-04-08,6248167,746392
2014-04-09,6410230,764528
2014-04-10,6524511,779628
2014-04-11,6910251,813960
2014-04-12,6388099,726704
2014-04-13,241475,42162
2014-04-14,11683139,1089929
2014-04-15,10668363,1041972
2014-04-16,10024850,1024616
2014-04-17,10357418,1109623
2014-04-18,222365,38237
2014-04-19,8428009,948290
2014-04-20,186799,35030
2014-04-21,240988,43421
2014-04-22,6971756,850700
2014-04-23,5997676,745429
2014-04-24,6039156,747952
2014-04-25,6219955,760617
2014-04-26,5968493,687942
2014-04-27,219630,39223
2014-04-28,10667908,1046696
2014-04-29,9457130,953790
2014-04-30,10841040,1097830
2014-05-01,238077,39554
2014-05-02,11310699,1141048
2014-05-03,6850332,771104
2014-05-04,227506,40401
2014-05-05,10797063,1067972
2014-05-06,9073871,933440
2014-05-07,8451824,878000
2014-05-08,8356504,886932
2014-05-09,8722646,928988
2014-05-10,6828031,775352
2014-05-11,242817,41961
2014-05-12,6383523,780714
2014-05-13,6128627,751507
2014-05-14,6141038,744235
2014-05-15,6252912,759575
2014-05-16,6515173,784919
2014-05-17,6052688,700008
2014-05-18,234786,42078
2014-05-19,10104320,1007594
2014-05-20,8264365,883301
2014-05-21,7727052,839270
2014-05-22,7517793,833380
2014-05-23,8177009,875454
2014-05-24,6130815,702044
2014-05-25,224097,41751
2014-05-26,6489410,780164
2014-05-27,6286135,734810
2014-05-28,7944392,887635
2014-05-29,292254,46904
2014-05-30,9846892,1043166
2014-05-31,6880606,762489
2014-06-01,264670,45153
2014-06-02,11662688,1107845
2014-06-03,9598519,966071
2014-06-04,8807342,902840
2014-06-05,8812312,914456
2014-06-06,8857173,950044
2014-06-07,6731210,772417
2014-06-08,275989,50042
2014-06-09,288181,52481
2014-06-10,7416071,862173
2014-06-11,6688764,778255
2014-06-12,6939204,814557
2014-06-13,7068339,815619
2014-06-14,6574173,730605
2014-06-15,238273,41605
2014-06-16,10692037,1026601
2014-06-17,9295150,946295
2014-06-18,9059505,953404
2014-06-19,3307766,386276
2014-06-20,9683407,1005406
2014-06-21,6065789,700770
2014-06-22,230668,41392
2014-06-23,6604967,802029
2014-06-24,6040970,742058
2014-06-25,5977803,718558
2014-06-26,5802491,706020
2014-06-27,6910940,798397
2014-06-28,6586535,716868
2014-06-29,257513,42236
2014-06-30,13308602,1189439
2014-07-01,8240050,849874
2014-07-02,7708595,812232
2014-07-03,7204662,795167
2014-07-04,6518718,738258
2014-07-05,5377184,611223
2014-07-06,241423,44139
2014-07-07,6059587,733291
2014-07-08,5119383,613274
2014-07-09,4959489,594373
2014-07-10,5729302,694278
2014-07-11,5791635,691330
2014-07-12,5329624,606010
2014-07-13,268130,44688
2014-07-14,8607714,844792
2014-07-15,7684994,788768
2014-07-16,7177840,758629
2014-07-17,6837176,745735
2014-07-18,6647315,735098
2014-07-19,4689269,552395
2014-07-20,248092,44706
2014-07-21,5690785,670245
2014-07-22,5274595,643305
2014-07-23,5068787,618345
2014-07-24,5179026,627028
2014-07-25,5493418,651507
2014-07-26,4887412,568168
2014-07-27,244638,44035
2014-07-28,8536879,834087
2014-07-29,7323566,748017
2014-07-30,7468663,757515
2014-07-31,8284756,838786
2014-08-01,7544719,802329
2014-08-02,5300445,603325
2014-08-03,273058,46410
2014-08-04,9062750,888967
2014-08-05,7530345,788799
2014-08-06,6709611,728267
2014-08-07,6772684,742333
2014-08-08,6571862,728811
2014-08-09,4938926,576746
2014-08-10,249646,43391
2014-08-11,5850906,707753
2014-08-12,5281785,648622
2014-08-13,5149918,629234
2014-08-14,5395023,652227
2014-08-15,5595129,662797
2014-08-16,5021534,583129
2014-08-17,255808,43116
2014-08-18,9250961,903752
2014-08-19,7698449,800967
2014-08-20,7022798,758733
2014-08-21,6616202,738275
2014-08-22,6638319,740207
2014-08-23,4958030,588340
2014-08-24,248837,42329
2014-08-25,5750763,709524
2014-08-26,5056366,630404
2014-08-27,5167298,646420
2014-08-28,5355611,657559
2014-08-29,6562758,746394
2014-08-30,5643050,633056
2014-08-31,274884,44235
2014-09-01,9737203,950038
2014-09-02,7854744,816602
2014-09-03,7170145,764960
2014-09-04,6799830,750398
2014-09-05,6908744,764486
2014-09-06,5010762,596300
2014-09-07,228115,40338
2014-09-08,5655302,702725
2014-09-09,5259862,655524
2014-09-10,5220667,644590
2014-09-11,5288519,655480
2014-09-12,5479788,663022
2014-09-13,5134569,600531
2014-09-14,243543,41672
2014-09-15,8724338,879241
2014-09-16,7191134,773733
2014-09-17,6513743,723242
2014-09-18,6397477,721411
2014-09-19,6550530,740984
2014-09-20,4915671,589198
2014-09-21,242302,41461
2014-09-22,5277645,662419
2014-09-23,4977122,637445
2014-09-24,4805992,609887
2014-09-25,4969583,627718
2014-09-26,5320736,651404
2014-09-27,4975386,589743
2014-09-28,220642,39230
2014-09-29,8548286,856532
2014-09-30,8893788,877635
2014-10-01,7702334,813279
2014-10-02,8155792,889705
2014-10-03,307988,51331
2014-10-04,6426083,726851
2014-10-05,225796,39187
2014-10-06,9028634,903887
2014-10-07,7332784,763609
2014-10-08,6869767,732067
2014-10-09,6816808,750548
2014-10-10,7047404,777828
2014-10-11,5190193,608743
2014-10-12,240423,40268
2014-10-13,5445980,678351
2014-10-14,5213744,656183
2014-10-15,5110401,632354
2014-10-16,5179446,639641
2014-10-17,5449686,668947
2014-10-18,4945733,585152
2014-10-19,204991,35357
2014-10-20,8078830,841553
2014-10-21,6677374,719784
2014-10-22,6129832,673288
2014-10-23,6463607,734282
2014-10-24,6523289,747373
2014-10-25,4894704,583760
2014-10-26,219359,38947
2014-10-27,5508341,684089
2014-10-28,5163755,640927
2014-10-29,5285015,636348
2014-10-30,6271893,734111
2014-10-31,6106412,707142
2014-11-01,3522395,405668
2014-11-02,213741,38010
2014-11-03,9953793,958343
2014-11-04,8181287,829606
2014-11-05,7493001,777506
2014-11-06,7184058,765939
2014-11-07,7298281,779203
2014-11-08,5629423,640974
2014-11-09,177774,31403
2014-11-10,8095306,840079
2014-11-11,7083145,759736
2014-11-12,6686356,724061
2014-11-13,6750180,741568
2014-11-14,7064885,770203
2014-11-15,5576429,632085
2014-11-16,203453,35060
2014-11-17,5849735,709733
2014-11-18,5367537,648585
2014-11-19,4888765,592324
2014-11-20,5575878,668680
2014-11-21,5816514,688304
2014-11-22,5522528,629622
2014-11-23,198298,35099
2014-11-24,9020315,890119
2014-11-25,7868758,806156
2014-11-26,7518283,771840
2014-11-27,7867510,803771
2014-11-28,9172722,905259
2014-11-29,7305547,768690
2014-11-30,242056,38606
2014-12-01,10276971,965344
2014-12-02,8843822,865867
2014-12-03,8258019,812638
2014-12-04,8554042,847660
2014-12-05,9801856,962959
2014-12-06,6479401,722727
2014-12-07,196469,34630
2014-12-08,6560015,756799
2014-12-09,6329729,727050
2014-12-10,5909802,669779
2014-12-11,6156944,695007
2014-12-12,6501211,713276
2014-12-13,6779226,732197
2014-12-14,218670,36629
2014-12-15,12133381,1054956
2014-12-16,10621060,981596
2014-12-17,9483386,891212
2014-12-18,9808212,962561
2014-12-19,9518489,931008
2014-12-20,7956411,817362
2014-12-21,259248,40226
2014-12-22,11007641,1130014
2014-12-23,10712124,1130310
2014-12-24,4612716,499900
2014-12-25,155386,24451
2014-12-26,205238,32180
2014-12-27,5710292,654005
2014-12-28,218071,35244
2014-12-29,7291426,800123
2014-12-30,7665743,830067
2014-12-31,3895591,442847
2015-01-01,130162,23049
2015-01-02,7561431,833452
2015-01-03,6150311,674126
2015-01-04,197193,33860
2015-01-05,11303805,1086836
2015-01-06,6791481,705935
2015-01-07,8621857,875379
2015-01-08,7646645,787890
2015-01-09,7945387,817211
2015-01-10,6277742,679177
2015-01-11,183367,31872
2015-01-12,9840664,960598
2015-01-13,8538569,877468
2015-01-14,7881690,816263
2015-01-15,7774935,818837
2015-01-16,8456148,896671
2015-01-17,6525692,722888
2015-01-18,195778,33854
2015-01-19,6386391,774440
2015-01-20,5744162,703317
2015-01-21,5882045,707483
2015-01-22,5933913,710747
2015-01-23,6326166,741005
2015-01-24,5811369,641657
2015-01-25,179028,31891
2015-01-26,9401803,921416
2015-01-27,8392342,861505
2015-01-28,7930037,811962
2015-01-29,8024066,823397
2015-01-30,9454954,934354
2015-01-31,7354597,771941
2015-02-01,225556,37415
2015-02-02,10291172,1008221
2015-02-03,8904680,908273
2015-02-04,8136074,846539
2015-02-05,7973916,845035
2015-02-06,8439787,883368
2015-02-07,6594669,722983
2015-02-08,208209,36064
2015-02-09,6477197,770619
2015-02-10,6345089,760174
2015-02-11,6393495,763412
2015-02-12,6151076,734474
2015-02-13,7212357,831087
2015-02-14,6701361,746789
2015-02-15,217257,38100
2015-02-16,9321996,886399
2015-02-17,8299474,838296
2015-02-18,8058390,839000
2015-02-19,8031173,851005
2015-02-20,8094451,856296
2015-02-21,6290922,700363
2015-02-22,199419,35335
2015-02-23,5984980,719140
2015-02-24,6021986,728587
2015-02-25,6028364,720287
2015-02-26,6471718,754534
2015-02-27,7778945,835001
2015-02-28,7421745,784585
2015-03-01,228942,38174
2015-03-02,10933146,1038703
2015-03-03,9234921,924885
2015-03-04,8421680,862366
2015-03-05,8263354,872720
2015-03-06,8504508,899465
2015-03-07,6565020,731761
2015-03-08,201341,37580
2015-03-09,6765029,795201
2015-03-10,6211021,735968
2015-03-11,6272025,736261
2015-03-12,6376255,748692
2015-03-13,6942094,784087
2015-03-14,6625997,712331
2015-03-15,244505,40284
2015-03-16,10877344,1046420
2015-03-17,8792886,907259
2015-03-18,7993269,844906
2015-03-19,8073881,857612
2015-03-20,8291098,873548
2015-03-21,6398094,696550
2015-03-22,235852,40320
2015-03-23,6788834,798640
2015-03-24,6226359,741073
2015-03-25,6073784,718390
2015-03-26,6362734,736748
2015-03-27,7078009,786578
2015-03-28,6829093,733408
2015-03-29,226242,37299
2015-03-30,12371453,1064757
2015-03-31,11222913,967655
2015-04-01,11102030,1032568
2015-04-02,11400447,1119146
2015-04-03,242473,39490
2015-04-04,9366558,985462
2015-04-05,217211,36928
2015-04-06,272921,46082
2015-04-07,7896155,912879
2015-04-08,6790649,791580
2015-04-09,6560475,778310
2015-04-10,6669239,779693
2015-04-11,6445499,710360
2015-04-12,244956,41948
2015-04-13,11075002,1043979
2015-04-14,9166055,916519
2015-04-15,8002511,836546
2015-04-16,8396675,873849
2015-04-17,8738327,898600
2015-04-18,6569186,728846
2015-04-19,237342,42188
2015-04-20,6588863,794027
2015-04-21,6039464,739265
2015-04-22,6082195,721392
2015-04-23,6153519,733577
2015-04-24,6367560,755706
2015-04-25,6305451,696241
2015-04-26,234093,40302
2015-04-27,10605500,996696
2015-04-28,9302980,909175
2015-04-29,9517703,939254
2015-04-30,11327847,1113383
2015-05-01,264231,42819
2015-05-02,8764984,915373
2015-05-03,249207,42447
2015-05-04,10995906,1065526
2015-05-05,8778928,886062
2015-05-06,8633577,879193
2015-05-07,8550616,887351
2015-05-08,8665512,913318
2015-05-09,7157061,779642
2015-05-10,251720,42202
2015-05-11,6732629,800067
2015-05-12,6686277,782603
2015-05-13,8147927,924442
2015-05-14,289247,47393
2015-05-15,8596524,938343
2015-05-16,6497847,709961
2015-05-17,255680,43701
2015-05-18,10603240,1025750
2015-05-19,8925994,899009
2015-05-20,8355497,850503
2015-05-21,8228411,861101
2015-05-22,8352281,882255
2015-05-23,6773815,740456
2015-05-24,261385,43987
2015-05-25,299473,49127
2015-05-26,7776413,873761
2015-05-27,6876443,778621
2015-05-28,6974793,780710
2015-05-29,8372820,886423
2015-05-30,7546769,776523
2015-05-31,278690,45179
2015-06-01,11743615,1075005
2015-06-02,9925193,956819
2015-06-03,9731791,971728
2015-06-04,3534231,398780
2015-06-05,9724893,984452
2015-06-06,6478518,714799
2015-06-07,262497,45460
2015-06-08,7366781,830740
2015-06-09,6865990,781538
2015-06-10,6524741,752884
2015-06-11,6553081,766056
2015-06-12,6606431,765201
2015-06-13,6510261,705240
2015-06-14,269533,45271
2015-06-15,11570100,1059425
2015-06-16,9636747,938541
2015-06-17,8618478,869642
2015-06-18,8191358,840098
2015-06-19,8458252,870773
2015-06-20,6390661,699305
2015-06-21,249849,42139
2015-06-22,6552538,753428
2015-06-23,6292372,732852
2015-06-24,6257424,731349
2015-06-25,6211764,732294
2015-06-26,6634687,760594
2015-06-27,6538314,698346
2015-06-28,262669,44422
2015-06-29,11916672,1049017
2015-06-30,11483932,1028931
2015-07-01,8989672,894404
2015-07-02,8446293,864389
2015-07-03,8530388,874644
2015-07-04,6054276,667899
2015-07-05,269248,47757
2015-07-06,7540473,847590
2015-07-07,6393024,743604
2015-07-08,6915625,771409
2015-07-09,6938182,783525
2015-07-10,7064909,798748
2015-07-11,6262022,689285
2015-07-12,277047,45392
2015-07-13,10841267,1004988
2015-07-14,9340405,912004
2015-07-15,8756137,880247
2015-07-16,8373873,868234
2015-07-17,7949337,833653
2015-07-18,6448982,699331
2015-07-19,298418,48005
2015-07-20,7339321,822322
2015-07-21,6356482,738827
2015-07-22,6110388,710055
2015-07-23,6687068,760655
2015-07-24,6601325,754252
2015-07-25,6021666,643434
2015-07-26,285865,46990
2015-07-27,10707292,970462
2015-07-28,9115073,876092
2015-07-29,8499962,828524
2015-07-30,8798854,858547
2015-07-31,10109742,968620
